,TimeStamp,Current(A),Volete(V),Watts(W),Humidity(%),Temp(°C)
0,2022-09-01 17:27:36,258.66074,578.75861,149702.125,39,26.9
1,2022-09-01 17:28:12,33.00421,79.38535,2620.05078,39,27.0
2,2022-09-01 17:28:46,12.08894,25.99689,314.27493,38,26.9
3,2022-09-01 17:29:20,12.65671,21.48921,271.98273,38,26.9
4,2022-09-01 17:29:54,14.23547,22.09599,314.54672,38,26.9
5,2022-09-04 10:25:52,283.65015,633.91309,179809.54688,54,25.7
6,2022-09-04 10:26:28,38.52576,80.08997,3085.52686,54,25.6
7,2022-09-04 10:27:03,22.03471,35.58702,784.14984,54,25.6
8,2022-09-04 10:27:37,24.46636,39.88864,975.92999,53,25.4
9,2022-09-04 10:30:19,475.39114,1107.92456,526697.5,53,25.3
10,2022-09-04 11:20:41,220.35176,492.50839,108525.09375,42,23.2
11,2022-09-04 11:21:17,10.93183,25.23482,275.86276,42,23.3
12,2022-09-04 11:21:52,10.58324,20.01575,211.83147,42,23.2
13,2022-09-04 11:22:27,11.10587,20.51961,227.88808,42,23.3
14,2022-09-04 11:23:01,21.93761,32.18786,706.12476,42,23.2
15,2022-09-04 11:23:36,11.93827,20.26859,241.97186,42,23.2
16,2022-09-04 11:24:11,10.45333,21.97007,229.66035,42,23.2
17,2022-09-04 11:24:47,16.97908,25.05593,425.4267,42,23.2
18,2022-09-04 11:25:23,21.53037,34.88026,750.98499,42,23.2
19,2022-09-04 11:25:58,13.92626,22.34139,311.1319,42,23.2
20,2022-09-04 11:26:33,15.98827,26.53885,424.31024,42,23.3
